"序号","英文名","国别","编号","时间","机构","主要内容","关键词","主题词","item_en","item_zh","title","url","type","source","topic","matrix_topics","authors","author_affiliations","topics","tags"
"82","Belfer Center for Science and International Affairs","USA","c4a148807849","2019-02-11T12:00:00Z","Belfer Center (STPP)","Cybersecurity expert Bruce Schneier, author of the “Schneier on Security” blog and a Research Fellow with the Belfer Center’s Cyber Security Project, sits down with with Aroop Mukharji to talk about cybersecurity and tech, his book ""Click Here to Kill Everybody,"" and the hacker mentality.","Cyber Security; Information Technology; Science, Technology, and Public Policy","Cyber Security; Information Technology; Science, Technology, and Public Policy; Cyber Security; Information Technology; Cyber Security; Information Technology; Science, Technology, and Public Policy","Artificial Intelligence","人工智能","Bruce Schneier on Office Hours Podcast","https://www.belfercenter.org/publication/bruce-schneier-office-hours-podcast","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","Artificial Intelligence","Bruce Schneier","","Cyber Security; Information Technology","Cyber Security; Information Technology; Science, Technology, and Public Policy"
"83","Belfer Center for Science and International Affairs","USA","bea759332450","2025-12-16T12:00:00Z","Belfer Center (STPP)","The goal of global nuclear security efforts should be a world in which all countries with nuclear weapons, highly enriched uranium (HEU), separated plutonium, and nuclear facilities whose sabotage could cause a major radiation release have reduced the risk of nuclear theft and sabotage to the lowest possible level. This will require policymakers, regulators, and operators to commit to a continuous process of striving for excellence in nuclear security performance.","Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Nuclear Security; Science, Technology, and Public Policy","Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Nuclear Security; Science, Technology, and Public Policy; Nuclear Issues; Nuclear Security; Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Nuclear Security; Science, Technology, and Public Policy","","","A Vision for Nuclear Security","https://www.belfercenter.org/publication/vision-nuclear-security-0","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","","","Nuclear Issues; Nuclear Security","Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Nuclear Security; Science, Technology, and Public Policy"
"84","Belfer Center for Science and International Affairs","USA","afdc69821b72","2025-11-25T12:00:00Z","Belfer Center (STPP)","Nuclear security around the world has improved dramatically over the last three decades—which demonstrates that with focused leadership, major progress is possible. But important weaknesses remain, and the evolution of the threat remains unpredictable. The danger that terrorists could get and use a nuclear bomb, or sabotage a major nuclear facility, or spread dangerous radioactive material in a “dirty bomb,” remains too high. The United States and countries around the world need to join together and provide the leadership and resources needed to put global nuclear security on a sustained path of continuous improvement, in the never-ending search for excellence in performance.","China's Nuclear Issues; Dirty Bombs; Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Nuclear Security; Nuclear Terrorism; Nuclear Waste; Nuclear Weapons; Pakistan Nuclear Program; Russia nuclear program; Science, Technology, and Public Policy; U.S. Nuclear Issues","China's Nuclear Issues; Dirty Bombs; Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Nuclear Security; Nuclear Terrorism; Nuclear Waste; Nuclear Weapons; Pakistan Nuclear Program; Russia nuclear program; Science, Technology, and Public Policy; U.S. Nuclear Issues; China's Nuclear Issues; Dirty Bombs; Nuclear Issues; Nuclear Security; Nuclear Terrorism; Nuclear Waste; Nuclear Weapons; Pakistan Nuclear Program; Russia nuclear program; U.S. Nuclear Issues; China's Nuclear Issues; Dirty Bombs; Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Nuclear Security; Nuclear Terrorism; Nuclear Waste; Nuclear Weapons; Pakistan Nuclear Program; Russia nuclear program; Science, Technology, and Public Policy; U.S. Nuclear Issues","Artificial Intelligence","人工智能","Revitalizing Nuclear Security in an Era of Uncertainty","https://www.belfercenter.org/publication/revitalizing-nuclear-security-era-uncertainty","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","Artificial Intelligence","Hui Zhang","","China's Nuclear Issues; Dirty Bombs; Nuclear Issues; Nuclear Security; Nuclear Terrorism; Nuclear Waste; Nuclear Weapons; Pakistan Nuclear Program; Russia nuclear program; U.S. Nuclear Issues","China's Nuclear Issues; Dirty Bombs; Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Nuclear Security; Nuclear Terrorism; Nuclear Waste; Nuclear Weapons; Pakistan Nuclear Program; Russia nuclear program; Science, Technology, and Public Policy; U.S. Nuclear Issues"
"85","Belfer Center for Science and International Affairs","USA","d88e6f5855b7","2025-06-05T12:00:00Z","Belfer Center (STPP)","On June 12-13, 2018, digital HKS welcomed public sector digital services teams from around the world to share stories of success, talk about lessons learned, and discuss the challenges they face in transforming government. The teams convened all agreed on North Star goals of building platform services and putting users at the center; what remains much more difficult is identifying how teams in very different political and technology contexts should think about how to reach that end-state. In this report, digital HKS shares best practices we gleaned from this group, to start a broader conversation for digital services groups around the world about what comes next.","Cyber Security; Information Technology; Science, Technology, and Public Policy; Technology Assessments; digital HKS","Cyber Security; Information Technology; Science, Technology, and Public Policy; Technology Assessments; digital HKS; Cyber Security; Information Technology; Technology Assessments; Cyber Security; Information Technology; Science, Technology, and Public Policy; Technology Assessments; digital HKS","Artificial Intelligence","人工智能","2018 State of Digital Transformation","https://www.belfercenter.org/publication/2018-state-digital-transformation","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","Artificial Intelligence","Bruce Schneier","","Cyber Security; Information Technology; Technology Assessments","Cyber Security; Information Technology; Science, Technology, and Public Policy; Technology Assessments; digital HKS"
"86","Belfer Center for Science and International Affairs","USA","cc372285135e","2018-07-30T12:00:00Z","Belfer Center (STPP)","Professor John P. Holdren delivered the Geschke Lecture at the Nantucket Atheneum on Nantucket, Massachusetts, on July 30, 2018.","Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy","Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy; Energy; Environment & Climate Change; Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy","","","Climate Change and the Cape & Islands: What We Know. What We Expect. What We Can Do.","https://www.belfercenter.org/publication/climate-change-and-cape-islands-what-we-know-what-we-expect-what-we-can-do","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Alexandra Middleton","","Energy; Environment & Climate Change","Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy"
"87","Belfer Center for Science and International Affairs","USA","a1cd1b860744","2018-05-22T12:00:00Z","Belfer Center (STPP)","Professor John P. Holdren gave the keynote address at the NOAA Global Monitoring Annual Conference in Boulder, Colorado, on May 22, 2018.","Air Pollution; Energy; Energy Innovation Policy; Environment & Climate Change; Innovation Systems; North America; Renewable Energy; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","Air Pollution; Energy; Energy Innovation Policy; Environment & Climate Change; Innovation Systems; North America; Renewable Energy; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; Air Pollution; Energy; Energy Innovation Policy; Environment & Climate Change; Innovation Systems; Renewable Energy; Science & Technology; Science & Technology Policy; Air Pollution; Energy; Energy Innovation Policy; Environment & Climate Change; Innovation Systems; North America; Renewable Energy; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","","","Science for Policy and Policy for Science in the Federal Government","https://www.belfercenter.org/publication/science-policy-and-policy-science-federal-government","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Robert N Stavins; Joseph E. Aldy","","Air Pollution; Energy; Energy Innovation Policy; Environment & Climate Change; Innovation Systems; Renewable Energy; Science & Technology; Science & Technology Policy","Air Pollution; Energy; Energy Innovation Policy; Environment & Climate Change; Innovation Systems; North America; Renewable Energy; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy"
"88","Belfer Center for Science and International Affairs","USA","51b9557fac14","2018-05-17T12:00:00Z","Belfer Center (STPP)","John P. Holdren won the 2018 Daniel Patrick Moynihan Prize. He delivered the annual Moynihan Lecture on May 17, 2018, at the Willard Intercontinental Hotel in Washington, D.C.","Biotechnology; Energy; Environment & Climate Change; Environment and Natural Resources; Governance; Homeland security; Innovation Systems; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; U.S. Energy Policy","Biotechnology; Energy; Environment & Climate Change; Environment and Natural Resources; Governance; Homeland security; Innovation Systems; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; U.S. Energy Policy; Biotechnology; Energy; Environment & Climate Change; Governance; Homeland security; Innovation Systems; Science & Technology; Science & Technology Policy; U.S. Energy Policy; Biotechnology; Energy; Environment & Climate Change; Environment and Natural Resources; Governance; Homeland security; Innovation Systems; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; U.S. Energy Policy","Biotechnology","生物技术","Natural & Social Science in the Executive Branch","https://www.belfercenter.org/publication/natural-social-science-executive-branch","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","Biotechnology","Robert Stowe","","Biotechnology; Energy; Environment & Climate Change; Governance; Homeland security; Innovation Systems; Science & Technology; Science & Technology Policy; U.S. Energy Policy","Biotechnology; Energy; Environment & Climate Change; Environment and Natural Resources; Governance; Homeland security; Innovation Systems; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; U.S. Energy Policy"
"89","Belfer Center for Science and International Affairs","USA","7449211d33c4","2018-03-22T12:00:00Z","Belfer Center (STPP)","The attached document contains March 2018 updates to our database on U.S. government investments in energy research, development, demonstration, and deployment (ERD3) through the Department of Energy.","Energy; Energy Innovation Policy; Environment and Natural Resources; North America; Science, Technology, and Public Policy","Energy; Energy Innovation Policy; Environment and Natural Resources; North America; Science, Technology, and Public Policy; Energy; Energy Innovation Policy; Energy; Energy Innovation Policy; Environment and Natural Resources; North America; Science, Technology, and Public Policy","","","Database on U.S. Department of Energy (DOE) Budgets for Energy Research, Development, & Demonstration (1978–2019R)","https://www.belfercenter.org/publication/database-us-department-energy-doe-budgets-energy-research-development-demonstration-0","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Robert N Stavins; Joseph E. Aldy","","Energy; Energy Innovation Policy","Energy; Energy Innovation Policy; Environment and Natural Resources; North America; Science, Technology, and Public Policy"
"90","Belfer Center for Science and International Affairs","USA","ca647e4f8dad","2018-02-27T12:00:00Z","Belfer Center (STPP)","Technological innovation and the politics of global justice are two fields that interact quite extensively in international diplomatic discourse and public debate. Controversial issues, such as accessing essential medicines, reducing greenhouse gases, conserving biological diversity, providing clean energy, and expanding the adoption of green technologies, require answers at the intersection of technological innovation, international diplomacy, and global justice. Our approach is to start off with the broader understanding that justice is rights-based and then proceed to analyze it using a goal-based framework. This brings into sharp focus the relationships between innovation and human rights.","Africa; Diplomacy; Economic policy; Globalization; Innovation Systems; International Relations; International development; Science & Technology Policy; Science, Technology, and Globalization; Science, Technology, and Public Policy; Technology Assessments; United Nations","Africa; Diplomacy; Economic policy; Globalization; Innovation Systems; International Relations; International development; Science & Technology Policy; Science, Technology, and Globalization; Science, Technology, and Public Policy; Technology Assessments; United Nations; Diplomacy; Economic policy; Globalization; Innovation Systems; International Relations; International development; Science & Technology Policy; Technology Assessments; United Nations; Africa; Diplomacy; Economic policy; Globalization; Innovation Systems; International Relations; International development; Science & Technology Policy; Science, Technology, and Globalization; Science, Technology, and Public Policy; Technology Assessments; United Nations","","","Exponential Innovation and Human Rights","https://www.belfercenter.org/publication/exponential-innovation-and-human-rights","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Oliver Yule-Smith","","Diplomacy; Economic policy; Globalization; Innovation Systems; International Relations; International development; Science & Technology Policy; Technology Assessments; United Nations","Africa; Diplomacy; Economic policy; Globalization; Innovation Systems; International Relations; International development; Science & Technology Policy; Science, Technology, and Globalization; Science, Technology, and Public Policy; Technology Assessments; United Nations"
"91","Belfer Center for Science and International Affairs","USA","ddacf4bd5043","2025-05-24T12:00:00Z","Belfer Center (STPP)","The power of Pan-Africanism as a guiding vision for the continent’s development is widely studied, mostly as an aspirational phenomenon. At worst, Pan-Africanism has often been seen as a poor imitation of American federalism or European integration. Both of these perceptions do not reflect the profound nature of the role that the ideology of Pan-Africanism played in shaping the continent’s economic transformation.","Africa; African Governance; Economic policy; Globalization; International development; International finance; Science & Technology; Science, Technology, and Globalization; Science, Technology, and Public Policy; Trade","Africa; African Governance; Economic policy; Globalization; International development; International finance; Science & Technology; Science, Technology, and Globalization; Science, Technology, and Public Policy; Trade; African Governance; Economic policy; Globalization; International development; International finance; Science & Technology; Trade; Africa; African Governance; Economic policy; Globalization; International development; International finance; Science & Technology; Science, Technology, and Globalization; Science, Technology, and Public Policy; Trade","","","African Regional Economic Integration","https://www.belfercenter.org/publication/african-regional-economic-integration","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Jeffrey Frankel","","African Governance; Economic policy; Globalization; International development; International finance; Science & Technology; Trade","Africa; African Governance; Economic policy; Globalization; International development; International finance; Science & Technology; Science, Technology, and Globalization; Science, Technology, and Public Policy; Trade"
"92","Belfer Center for Science and International Affairs","USA","01613af5e280","","Belfer Center (STPP)","Currently, the Nuclear Suppliers Group (NSG) is considering India’s application for membership. In this context NSG members are reportedly discussing membership criteria for states not party to the Nuclear Nonproliferation Treaty (NPT), including a requirement for clear and strict separation of current and future civilian nuclear facilities from non-civilian nuclear facilities. In this paper, John Carlson examines India’s Separation Plan and safeguards agreement with the International Atomic Energy Agency (IAEA), and shows that they do not meet this standard – that current arrangements create an unverified grey zone between military and civilian material, and are not sufficient to verify that India is not using safeguarded material to benefit military purposes.","Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Science, Technology, and Public Policy","Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Science, Technology, and Public Policy; Nuclear Issues; Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Science, Technology, and Public Policy","","","India’s Nuclear Safeguards: Not Fit for Purpose","https://www.belfercenter.org/publication/indias-nuclear-safeguards-not-fit-purpose","Reports & Papers","Managing the Atom Project, Belfer Center","All","","Elbahtimy, Hassan , Rebecca Davis Gibbons; Stephen Herzog","","Nuclear Issues","Environment and Natural Resources; International Security Program; Managing the Atom; Nuclear Issues; Science, Technology, and Public Policy"
"93","Belfer Center for Science and International Affairs","USA","588d55dfb621","2025-03-10T12:00:00Z","Belfer Center (STPP)","This report recommends policies and actions to improve the return on investment the U.S. government makes in sponsoring research and development (R&D) at the Department of Energy's (DOE) seventeen National Laboratories (""Labs""). While the Labs make a unique and significant contribution to all of the Department of Energy's missions, the authors develop the idea that for the Labs to fully support DOE's energy transformation goals, their R&D management practices need to be updated to better reflect current research into innovation systems and management. They also highlight the necessity of Lab interactions with industry in order to impact the nation's energy infrastructure investment, which is, for the most part, privately held.","Energy; Energy Innovation Policy; Environment and Natural Resources; Innovation Systems; North America; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; U.S. Energy Policy","Energy; Energy Innovation Policy; Environment and Natural Resources; Innovation Systems; North America; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; U.S. Energy Policy; Energy; Energy Innovation Policy; Innovation Systems; Science & Technology; Science & Technology Policy; U.S. Energy Policy; Energy; Energy Innovation Policy; Environment and Natural Resources; Innovation Systems; North America; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; U.S. Energy Policy","","","The Department of Energy National Laboratories","https://www.belfercenter.org/publication/department-energy-national-laboratories","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Robert N Stavins; Joseph E. Aldy","","Energy; Energy Innovation Policy; Innovation Systems; Science & Technology; Science & Technology Policy; U.S. Energy Policy","Energy; Energy Innovation Policy; Environment and Natural Resources; Innovation Systems; North America; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; U.S. Energy Policy"
"94","Belfer Center for Science and International Affairs","USA","efba40861013","2023-11-26T12:00:00Z","Belfer Center (STPP)","""Belfer Center Newsmakers"" highlights members of the Belfer Center community who have been featured recently in the news.","Asia & the Pacific; China & security; Civil Wars; Environment & Climate Change; Environment and Natural Resources; International Security Program; Middle East & North Africa; North America; Science & Technology Policy; Science, Technology, and Public Policy; Soft Power; Terrorism & Counterterrorism","Asia & the Pacific; China & security; Civil Wars; Environment & Climate Change; Environment and Natural Resources; International Security Program; Middle East & North Africa; North America; Science & Technology Policy; Science, Technology, and Public Policy; Soft Power; Terrorism & Counterterrorism; China & security; Civil Wars; Environment & Climate Change; Science & Technology Policy; Soft Power; Terrorism & Counterterrorism; Asia & the Pacific; China & security; Civil Wars; Environment & Climate Change; Environment and Natural Resources; International Security Program; Middle East & North Africa; North America; Science & Technology Policy; Science, Technology, and Public Policy; Soft Power; Terrorism & Counterterrorism","","","Newsmakers","https://www.belfercenter.org/publication/newsmakers-30","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Jay Mens","","China & security; Civil Wars; Environment & Climate Change; Science & Technology Policy; Soft Power; Terrorism & Counterterrorism","Asia & the Pacific; China & security; Civil Wars; Environment & Climate Change; Environment and Natural Resources; International Security Program; Middle East & North Africa; North America; Science & Technology Policy; Science, Technology, and Public Policy; Soft Power; Terrorism & Counterterrorism"
"95","Belfer Center for Science and International Affairs","USA","465273deb288","2017-10-26T12:00:00Z","Belfer Center (STPP)","Professor John P. Holdren gave the keynote address at the World Conference of Science Journalists in San Francisco, California, on October 26, 2017.","Asia & the Pacific; Climate Change Policy; Environment & Climate Change; North America; Science, Technology, and Public Policy; South America","Asia & the Pacific; Climate Change Policy; Environment & Climate Change; North America; Science, Technology, and Public Policy; South America; Climate Change Policy; Environment & Climate Change; Asia & the Pacific; Climate Change Policy; Environment & Climate Change; North America; Science, Technology, and Public Policy; South America","","","Why the Wafflers are Wrong","https://www.belfercenter.org/publication/why-wafflers-are-wrong","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Robert Stowe","","Climate Change Policy; Environment & Climate Change","Asia & the Pacific; Climate Change Policy; Environment & Climate Change; North America; Science, Technology, and Public Policy; South America"
"96","Belfer Center for Science and International Affairs","USA","fc5386dd89e4","2017-10-19T12:00:00Z","Belfer Center (STPP)","Professor John P. Holdren gave the Wasan Lecture at the Illinois Institute of Technology in Chicago, Illinois, on October 19, 2017.","Climate Change Policy; Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy","Climate Change Policy; Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy; Climate Change Policy; Energy; Environment & Climate Change; Climate Change Policy; Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy","","","Global Climate-Change and U.S. Interests: What We Know, What We Expect, What We Should Do","https://www.belfercenter.org/publication/global-climate-change-and-us-interests-what-we-know-what-we-expect-what-we-should-do","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Robert Stowe","","Climate Change Policy; Energy; Environment & Climate Change","Climate Change Policy; Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy"
"97","Belfer Center for Science and International Affairs","USA","2414a089847c","2017-10-09T12:00:00Z","Belfer Center (STPP)","Professor John P. Holdren gave the inaugural address for the Center of Biological Risk at the University of Connecticut on October 9, 2017.","Energy; Environment & Climate Change; North America; Renewable Energy; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","Energy; Environment & Climate Change; North America; Renewable Energy; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; Energy; Environment & Climate Change; Renewable Energy; Science & Technology; Science & Technology Policy; Energy; Environment & Climate Change; North America; Renewable Energy; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","","","Science & Environment in the White House: What Did Obama Do? What Is Trump Doing? What Should We Do?","https://www.belfercenter.org/publication/science-environment-white-house-what-did-obama-do-what-trump-doing-what-should-we-do","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Robert Stowe","","Energy; Environment & Climate Change; Renewable Energy; Science & Technology; Science & Technology Policy","Energy; Environment & Climate Change; North America; Renewable Energy; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy"
"98","Belfer Center for Science and International Affairs","USA","798d0818dbb4","2017-09-18T12:00:00Z","Belfer Center (STPP)","Professor John P. Holdren gave the keynote lecture opening a two-day international congress at the University of Illinois, Urbana-Champaign, which was organized by the University’s Institute for Sustainability, Energy, and Environment on the topic of ""Building Resilience to Climate Change.""","Environment & Climate Change; Science, Technology, and Public Policy","Environment & Climate Change; Science, Technology, and Public Policy; Environment & Climate Change; Environment & Climate Change; Science, Technology, and Public Policy","","","The Case for Investing in Climate-Change Resilience: Insights from Science, Engineering, and Economics","https://www.belfercenter.org/publication/case-investing-climate-change-resilience-insights-science-engineering-and-economics","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Alexandra Middleton","","Environment & Climate Change","Environment & Climate Change; Science, Technology, and Public Policy"
"99","Belfer Center for Science and International Affairs","USA","5424e5c32e24","2017-08-20T12:00:00Z","Belfer Center (STPP)","Section 702 of the Foreign Intelligence Surveillance Act (FISA) Amendments Act of 2008, a powerful surveillance tool that allows U.S. government agencies to spy on foreign persons to collect counter-terrorism intelligence, will expire on December 31, 2017 without Congressional reauthorization. This paper has two goals: to concisely describe how agencies obtain information under Section 702, and to provide guidance to legislators and their staffers by examining the core issues they will confront as they consider reauthorizing this legislation.","Cyber Project; Cyber Security; International Security & Defense; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","Cyber Project; Cyber Security; International Security & Defense; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; Cyber Security; International Security & Defense; Science & Technology; Science & Technology Policy; Cyber Project; Cyber Security; International Security & Defense; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","Artificial Intelligence","人工智能","A Legislator's Guide to Reauthorizing Section 702","https://www.belfercenter.org/publication/legislators-guide-reauthorizing-section-702","Reports & Papers","Cyber Security Project, Belfer Center","All","Artificial Intelligence","Bruce Schneier","","Cyber Security; International Security & Defense; Science & Technology; Science & Technology Policy","Cyber Project; Cyber Security; International Security & Defense; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy"
"100","Belfer Center for Science and International Affairs","USA","c7dc580a6275","2017-07-27T12:00:00Z","Belfer Center (STPP)","Dr. John P. Holdren gave the 11th Annual Wheeler Lecture for the Quissett Harbor Preservation Trust in Falmouth, Massachusetts, on July 23, 2017.","Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy","Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy; Energy; Environment & Climate Change; Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy","","","Climate Change and Cape Cod","https://www.belfercenter.org/publication/climate-change-and-cape-cod","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Alexandra Middleton","","Energy; Environment & Climate Change","Energy; Environment & Climate Change; North America; Science, Technology, and Public Policy"
"101","Belfer Center for Science and International Affairs","USA","4f8d6422f065","2025-06-05T12:00:00Z","Belfer Center (STPP)","This paper presents a new dataset of more than 4,300 vulnerabilities, and estimates vulnerability rediscovery across different vendors and software types. It concludes that rediscovery happens more than twice as often as the 1-9% range previously reported.","Cyber Project; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","Cyber Project; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Cyber Project; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","Artificial Intelligence","人工智能","Taking Stock: Estimating Vulnerability Rediscovery","https://www.belfercenter.org/publication/taking-stock-estimating-vulnerability-rediscovery","Reports & Papers","Cyber Security Project, Belfer Center","All","Artificial Intelligence","Bruce Schneier","","Cyber Security; Information Technology; Science & Technology; Science & Technology Policy","Cyber Project; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy"
"102","Belfer Center for Science and International Affairs","USA","07979f383662","2017-06-27T12:00:00Z","Belfer Center (STPP)","Malicious software is adapted, stolen, bought, and used everyday on a global scale. There are better ways to counter this proliferation than export controls. Policymakers should strengthen incentives for researchers and the private sector to rapidly identify software vulnerabilities, disclose them to developers, patch those vulnerabilities, and adopt those patches. Building on previous debates, this paper makes specific recommendations to shorten the lifecycle of vulnerabilities and improve the short term health of the software security ecosystem.","Cyber Project; Cyber Security; Information Technology; Science & Technology; Science, Technology, and Public Policy","Cyber Project; Cyber Security; Information Technology; Science & Technology; Science, Technology, and Public Policy; Cyber Security; Information Technology; Science & Technology; Cyber Project; Cyber Security; Information Technology; Science & Technology; Science, Technology, and Public Policy","Artificial Intelligence","人工智能","Countering the Proliferation of Malware","https://www.belfercenter.org/publication/countering-proliferation-malware","Reports & Papers","Cyber Security Project, Belfer Center","All","Artificial Intelligence","Bruce Schneier","","Cyber Security; Information Technology; Science & Technology","Cyber Project; Cyber Security; Information Technology; Science & Technology; Science, Technology, and Public Policy"
"103","Belfer Center for Science and International Affairs","USA","725fdf80e2f8","2017-06-27T12:00:00Z","Belfer Center (STPP)","The attached document contains the June 2017 updates to the authors' database on U.S. government investments in energy research, development, demonstration, and deployment (ERD3) through the Department of Energy.","Energy; Energy Innovation Policy; Environment and Natural Resources; North America; Science, Technology, and Public Policy","Energy; Energy Innovation Policy; Environment and Natural Resources; North America; Science, Technology, and Public Policy; Energy; Energy Innovation Policy; Energy; Energy Innovation Policy; Environment and Natural Resources; North America; Science, Technology, and Public Policy","","","Database on U.S. Department of Energy (DOE) Budgets for Energy Research, Development, & Demonstration (1978–2018R)","https://www.belfercenter.org/publication/database-us-department-energy-doe-budgets-energy-research-development-demonstration","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Robert N Stavins; Joseph E. Aldy","","Energy; Energy Innovation Policy","Energy; Energy Innovation Policy; Environment and Natural Resources; North America; Science, Technology, and Public Policy"
"104","Belfer Center for Science and International Affairs","USA","4e6d2d7cb07e","2017-06-26T12:00:00Z","Belfer Center (STPP)","Few areas of national policymaking will remain untouched by artificial intelligence. Though the challenges it poses are complex, the opportunities it offers are tremendous. Simply put, machine learning is too important to ignore.","Cyber Project; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","Cyber Project; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Cyber Project; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy","Artificial Intelligence","人工智能","Machine Learning for Policymakers","https://www.belfercenter.org/publication/machine-learning-policymakers","Reports & Papers","Cyber Security Project, Belfer Center","All","Artificial Intelligence","Toni Erskine; Steven E. Miller","","Cyber Security; Information Technology; Science & Technology; Science & Technology Policy","Cyber Project; Cyber Security; Information Technology; Science & Technology; Science & Technology Policy; Science, Technology, and Public Policy"
