"序号","英文名","国别","编号","时间","机构","主要内容","主要内容_zh","关键词","关键词_zh","主题词","主题词_zh","item_en","item_zh","title","url","type","source","topic","matrix_topics","authors","author_affiliations","topics","tags"
"231","Belfer Center for Science and International Affairs","USA","a65db1baafd2","2020-04-07T12:00:00Z","Belfer Center","This article announces a weekly web series titled 'Questions from Quarantine,' hosted by Juliette Kayyem and Dr. Margaret Bourdeaux. The series aims to address public inquiries related to the COVID-19 pandemic, offering guidance on topics such as new mask guidelines, the potential for reinfection, and general quarantine tips. It encourages audience participation by inviting questions via social media with a specific hashtag for a chance to be featured in future episodes. The content is presented as an informational resource from a think-tank's global health project, focusing on providing expert advice during a public health crisis.","本文介绍了一个名为“隔离问题”的每周网络系列节目，由朱丽叶·凯耶姆和玛格丽特·布尔多博士主持。该系列旨在解答公众关于COVID-19大流行的疑问，提供关于新口罩指南、再感染可能性以及一般隔离建议的指导。文章鼓励观众通过社交媒体使用特定标签提问，有机会在未来的节目中被选中。该内容作为一个智库全球健康项目的信息资源，侧重于在公共卫生危机期间提供专家建议。","Questions from Quarantine; web series; Juliette Kayyem; Margaret Bourdeaux; mask guidelines; reinfection potential; quarantine tips; COVID-19; pandemic; public inquiries; expert advice; global health; public health crisis; social media engagement; hashtag; Security and Global Health Project; staying sane; staying sanitary; weekly episode","隔离问题; 网络系列节目; 朱丽叶·凯耶姆; 玛格丽特·布尔多博士; 口罩指南; 再感染可能性; 隔离建议; COVID-19; 大流行; 公众咨询; 专家建议; 全球健康; 公共卫生危机; 社交媒体互动; 主题标签; 安全与全球健康项目; 保持理智; 保持卫生; 每周节目","Public Health Communication; COVID-19 Guidance; Expert Web Series","公共卫生传播; COVID-19指导; 专家网络系列","","","Questions from Quarantine: New Mask Guidelines, Reinfection Potential, and Quarantine Tips","https://www.belfercenter.org/publication/questions-quarantine-new-mask-guidelines-reinfection-potential-and-quarantine-tips","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Syra Madad","","Coronavirus; Global Health; Public Health","Coronavirus; Global Health; Public Health; Security and Global Health"
"232","Belfer Center for Science and International Affairs","USA","4dab1de5b2f6","2020-04-07T12:00:00Z","Belfer Center","The U.S. Federal Reserve's response to the crisis is aimed at three primary goals: preventing a financial market breakdown, supporting domestic businesses to avoid widespread bankruptcies, and ensuring foreign central banks have access to dollar liquidity. The Fed rapidly deployed its 2008 crisis toolkit, including cutting interest rates to zero and restarting unlimited Quantitative Easing across broader asset classes like commercial mortgage-backed securities. However, monetary policy's impact is limited in a shuttered, low-rate economy. New initiatives directly target corporate and municipal credit markets through facilities like the CPFF, TALF, PMCCF, SMCCF, and MMLF. The Fed also encourages bank lending by relaxing capital requirements and promoting discount window use. Internationally, it expanded and reduced costs on dollar swap lines with key central banks and created the new FIMA facility, allowing central banks to pledge U.S. Treasuries for dollar liquidity, aiming to stabilize both global and domestic Treasury markets.","美联储的应对措施旨在实现三个目标：防止金融市场崩溃并放大危机；支持国内企业度过可能导致广泛破产的经济动荡；确保主要经济体的外国央行能够获得美元流动性。美联储在数周内动用了其2008年危机的全套策略。国内措施包括将利率降至零，以及购买包括国债、抵押贷款支持证券（MBS）和商业MBS在内的多种资产。然而，由于企业停摆、经济大面积停滞，且利率环境已处于低位，货币政策效果有限。与2008年聚焦金融机构不同，本次政策需直接支撑实体经济及地方政府。新举措包括重启商业票据融资工具（CPFF）和定期资产支持证券贷款工具（TALF），并首次设立一级市场公司信贷工具（PMCCF）和二级市场公司信贷工具（SMCCF）直接支持公司债市场。此外，货币市场共同基金流动性工具（MMLF）通过支持货币市场基金间接稳定市政信贷。美联储还放宽银行资本要求，鼓励其通过贴现窗口借款。国际方面，美联储加强与主要央行的美元互换协议，并创设外国和国际货币当局临时回购工具（FIMA），允许外国央行以美债为抵押获取美元，以缓解全球美元流动性紧张并稳定美债市场。","Federal Reserve; quantitative easing; swap lines; commercial paper; corporate bonds; liquidity facility; discount window; monetary policy; financial markets; dollar liquidity; central banks; municipal debt; credit markets; interest rates; COVID-19 crisis; economic stimulus; bank lending; Treasury bonds; asset purchases; financial stability","美联储; 量化宽松; 互换额度; 商业票据; 公司债券; 流动性工具; 贴现窗口; 货币政策; 金融市场; 美元流动性; 中央银行; 市政债务; 信贷市场; 利率; COVID-19危机; 经济刺激; 银行信贷; 国债; 资产购买; 金融稳定","Monetary Policy; Financial Crisis Response; International Liquidity","货币政策; 金融危机应对; 国际流动性","","","How is the U.S. Federal Reserve Responding?","https://www.belfercenter.org/publication/how-us-federal-reserve-responding","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Syra Madad","","Coronavirus; Global Health","Coronavirus; Economic Diplomacy Initiative; Global Health"
"233","Belfer Center for Science and International Affairs","USA","7fee792100ba","2020-04-07T12:00:00Z","Belfer Center","European central banks and governments have deployed various policy tools to counter the economic fallout from COVID-19. With interest rates already near zero, the impact of conventional monetary policy is limited. The European Central Bank (ECB) launched a €750 billion Pandemic Emergency Purchase Program (PEPP), including riskier assets like Greek debt, and maintained negative deposit rates. However, monetary policy alone is insufficient due to business closures and rising unemployment. Complementary fiscal measures are crucial, exemplified by the UK's furlough scheme covering 80% of wages, mirrored in Norway, Denmark, Ireland, and the Netherlands. The pandemic has exposed EU divisions, with nine Eurozone countries advocating for 'Corona Bonds' for joint debt issuance, opposed by Germany over liability concerns. Disagreements also persist on using the European Stability Mechanism (ESM). The article argues for greater solidarity, suggesting deploying the ESM, activating the EU Civil Protection Mechanism for medical equipment, and coordinating finance ministers to avoid 'beggar-thy-neighbor' outcomes. Responses from the Bank of England, Bundesbank, and Banque de France are also detailed, highlighting asset purchases, interest rate cuts, and national support schemes.","随着新冠疫情在欧洲蔓延，欧洲央行及各成员国央行与政府动用了一系列政策工具以应对经济冲击。由于利率已接近零，常规货币政策效果有限。欧洲央行宣布了7500亿欧元的“大流行紧急购买计划”（PEPP），首次将希腊国债等高风险资产纳入购买范围，并维持-0.5%的存款利率。然而，由于企业关停、失业率上升，仅靠货币政策难以重启经济。财政政策的补充至关重要，英国推出了覆盖80%工资的“强制休假”补贴计划，挪威、丹麦、爱尔兰和荷兰也采取了类似措施。疫情加剧了欧盟内部原有的裂痕，九个欧元区国家呼吁发行共同债务“新冠债券”，但德国因担心承担他国债务风险而反对。在动用拥有4100亿欧元借贷能力的欧洲稳定机制（ESM）问题上也存在分歧。文章呼吁增强欧元区团结，建议启用ESM援助困境中的国家、启动欧盟民事保护机制协调医疗设备供应，并协调各国财长行动以避免“以邻为壑”的结果。文章还分别梳理了英国央行、德国央行和法国央行的具体应对措施，包括资产购买、降息及国内救助计划。","Pandemic Emergency Purchase Program (PEPP); European Central Bank (ECB); European Stability Mechanism (ESM); Corona Bonds; asset purchases; interest rates; fiscal policy; monetary policy; Eurozone; solidarity; coordination; economic fallout; unconventional monetary policy; credit standards; bailout package; debt brake; Term Funding Scheme (TFS); liquidity package; European Commission; austerity","大流行紧急购买计划（PEPP）; 欧洲央行（ECB）; 欧洲稳定机制（ESM）; 新冠债券; 资产购买; 利率; 财政政策; 货币政策; 欧元区; 团结; 协调; 经济冲击; 非常规货币政策; 信贷标准; 救助计划; 债务刹车; 定期资助计划（TFS）; 流动性方案; 欧盟委员会; 财政紧缩","COVID-19 Economic Response; European Monetary Policy; Fiscal Stimulus; EU Coordination; Central Bank Actions","新冠疫情经济应对; 欧洲货币政策; 财政刺激; 欧盟协调; 央行行动","","","How Have European Central Banks Responded?","https://www.belfercenter.org/publication/how-have-european-central-banks-responded","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Syra Madad","","Coronavirus; Global Health; Public Health","Coronavirus; Economic Diplomacy Initiative; Global Health; Public Health"
"234","Belfer Center for Science and International Affairs","USA","678100e6e346","2020-04-06T12:00:00Z","Belfer Center","The article argues that the United States should establish global public health leadership by creating a sanctions regime modeled after Section 311 of the Patriot Act to punish countries that threaten global health through poor standards or information concealment. It proposes that the US pioneer a strategy to set global pandemic prevention standards, using its economic power to incentivize compliance. The author suggests applying financial sanctions similar to those used against terrorist financing to isolate nations or entities responsible for pandemic threats. The piece acknowledges that developing nations may require assistance rather than punishment and should be treated on a case-by-case basis with support for health infrastructure. It also recommends leveraging IMF and World Bank conditionality to promote health transparency. The core argument is that in a globalized world, public health failures constitute a national security threat comparable to terrorism, warranting a robust sanctions-based response.","本文主张美国应通过建立类似于《爱国者法案》第311条的制裁机制，来确立全球公共卫生领导地位，以惩罚那些因标准低下或隐瞒信息而威胁全球健康的国家。文章提议美国率先制定一项战略，为全球大流行病预防设定标准，并利用其经济实力激励各国遵守。作者建议采用类似于针对恐怖主义融资的金融制裁手段，来隔离对疫情威胁负有责任的国家或实体。文章承认发展中国家可能需要援助而非惩罚，应根据具体情况予以处理，并提供卫生基础设施支持。它还建议利用国际货币基金组织和世界银行的附加条件来促进卫生透明度。核心论点是，在全球化世界中，公共卫生失败构成与恐怖主义相当的国家安全威胁，需要基于制裁的强力应对。","public health sanctions; Section 311; Patriot Act; pandemic prevention; global health standards; economic sanctions; financial isolation; terrorist financing; IMF conditionality; World Bank; health transparency; national security; outbreak containment; information concealment; globalized threats; deterrence strategy; compliance incentives; health infrastructure; developing nations; executive order","公共卫生制裁; 第311条; 爱国者法案; 大流行病预防; 全球卫生标准; 经济制裁; 金融隔离; 恐怖主义融资; 国际货币基金组织附加条件; 世界银行; 卫生透明度; 国家安全; 疫情遏制; 信息隐瞒; 全球化威胁; 威慑战略; 合规激励; 卫生基础设施; 发展中国家; 行政命令","Global Health Policy; Economic Sanctions; Pandemic Preparedness","全球卫生政策; 经济制裁; 大流行病防范","","","The Case for Public Health Sanctions","https://www.belfercenter.org/publication/case-public-health-sanctions","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Syra Madad","","Coronavirus; Global Health; Public Health; Sanctions","Coronavirus; Global Health; Public Health; Sanctions"
"235","Belfer Center for Science and International Affairs","USA","ec9b0f2d797e","2020-04-03T12:00:00Z","Belfer Center","The article highlights the application of cost-effectiveness analysis in identifying optimal policies to combat the COVID-19 pandemic. It references the perspective of Robert Stavins, suggesting that analytical frameworks typically used in environmental economics and climate policy can be valuable for public health crisis management. The core argument is that systematic evaluation of policy options based on their costs and outcomes is crucial for effective emergency response and governance during the coronavirus crisis. The piece is published by the Belfer Center, indicating a focus on evidence-based policy recommendations at the intersection of science, international affairs, and public health.","本文强调成本效益分析在确定抗击COVID-19最佳政策中的作用。文章引用了罗伯特·斯塔文斯的观点，认为通常用于环境经济学和气候政策的分析框架对于公共卫生危机管理具有重要价值。核心论点是，基于政策选项的成本和结果进行系统评估，对于冠状病毒危机期间的有效应急响应和治理至关重要。该文章由贝尔弗中心发布，表明其重点在于基于证据的政策建议，涉及科学、国际事务和公共卫生的交叉领域。","Cost Effectiveness Analysis; COVID-19; Coronavirus; Policies; Public Health; Crisis Management; Emergency Response; Environmental Economics; Governance; Robert Stavins; Belfer Center; Harvard Kennedy School; Policy Evaluation; Optimal Policies; Climate Agreements; Evidence-Based; International Affairs; Science Policy; Health Crisis; Systematic Analysis","成本效益分析; COVID-19; 冠状病毒; 政策; 公共卫生; 危机管理; 应急响应; 环境经济学; 治理; 罗伯特·斯塔文斯; 贝尔弗中心; 哈佛肯尼迪学院; 政策评估; 最优政策; 气候协议; 基于证据; 国际事务; 科学政策; 健康危机; 系统分析","Public Health Policy; Economic Analysis; Crisis Governance","公共卫生政策; 经济分析; 危机治理","","","Cost Effectiveness Analysis and Finding the Best Policies to Fight COVID-19","https://www.belfercenter.org/publication/cost-effectiveness-analysis-and-finding-best-policies-fight-covid-19","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Conleigh Byers; Farhad Billimoria","","Coronavirus; Crisis management; Emergency response; Environment & Climate Change; Environmental Economics; Governance; Public Health","Coronavirus; Crisis management; Emergency response; Environment & Climate Change; Environmental Economics; Governance; Harvard Project on Climate Agreements; Public Health"
"236","Belfer Center for Science and International Affairs","USA","5321e33cc486","2020-03-31T12:00:00Z","Belfer Center","The Security and Global Health Project hosts a weekly web series featuring experts Juliette Kayyem and Dr. Margaret Bourdeaux, who address audience questions submitted under the hashtag #QuestionsFromQuarantine. The series, titled 'Questions from Quarantine,' focuses on providing guidance during the COVID-19 crisis, covering topics such as perspectives on the pandemic, the critical shortage of Personal Protective Equipment (PPE), and strategies for maintaining mental and physical well-being while in isolation. The initiative aims to offer expert advice on staying safe and sane, encouraging public participation by featuring selected questions in subsequent episodes aired every Tuesday.","安全与全球健康项目推出每周网络系列节目，由专家朱丽叶·凯耶姆和玛格丽特·布尔多博士主持。该系列名为“隔离问题”，旨在回答观众通过话题标签#QuestionsFromQuarantine提交的疑问。节目聚焦于COVID-19危机期间的指导，涵盖对疫情的看法、个人防护装备严重短缺的问题，以及在隔离期间保持身心健康的方法。该项目每周二播出，通过提供专家建议，帮助公众在危机中保持安全与理智，并鼓励观众参与互动，其问题有机会在后续节目中被选中讨论。","Security and Global Health Project; web series; Juliette Kayyem; Margaret Bourdeaux; quarantine; COVID-19; PPE shortage; public health; mental well-being; isolation; expert advice; audience questions; global crisis; sanitary measures; safety protocols; pandemic response; health security; crisis management; public engagement; weekly episodes","安全与全球健康项目; 网络系列节目; 朱丽叶·凯耶姆; 玛格丽特·布尔多博士; 隔离; COVID-19; 个人防护装备短缺; 公共卫生; 心理健康; 隔离措施; 专家建议; 观众提问; 全球危机; 卫生措施; 安全协议; 疫情应对; 健康安全; 危机管理; 公众参与; 每周节目","Public Health; COVID-19; Crisis Management; Mental Health; PPE","公共卫生; COVID-19; 危机管理; 心理健康; 个人防护装备","","","Questions from Quarantine: COVID-19 Perspectives, the Lack of PPE, and Staying Safe and Sane at Home","https://www.belfercenter.org/publication/questions-quarantine-covid-19-perspectives-lack-ppe-and-staying-safe-and-sane-home","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Syra Madad","","Coronavirus; Global Health; Public Health","Coronavirus; Global Health; Public Health; Security and Global Health"
"237","Belfer Center for Science and International Affairs","USA","20fc6ffb0074","2020-03-31T12:00:00Z","Belfer Center","The article describes the author's personal experience with panic buying and supply shortages during the early stages of the COVID-19 pandemic, drawing a parallel to the bank run scene in 'It's a Wonderful Life.' It argues that individual hoarding behavior, driven by fear and uncertainty over quarantine orders, business closures, and the collapse of social infrastructure, ironically creates the very shortages people fear. This undermines collective efforts like social distancing and isolation needed to slow the virus. The piece calls for a shift from pure self-preservation to community-minded action, emphasizing that overcoming the crisis requires faith in and cooperation with others, even strangers. It suggests fostering social intimacy through creative remote connections to combat loneliness and economic hardship, and urges that these lessons in mutual aid persist beyond the immediate crisis.","本文以作者在新冠疫情初期的个人经历开篇，描述了恐慌性购买和物资短缺的现象，并借电影《生活多美好》中银行挤兑的情节进行类比。文章指出，由于对隔离令、企业关闭和社会基础设施崩溃的恐惧与不确定性，个人的囤积行为反而会制造出人们所害怕的短缺，这破坏了为减缓病毒传播所需的社交隔离等集体努力。作者呼吁从纯粹的自我保护转向具有社区意识的行为，强调克服危机需要对他人的信任与合作，即使是陌生人。文章建议通过创造性的远程联系来培养社会亲密感，以对抗孤独和经济困境，并敦促人们将这些互助的经验延续到危机之后。","panic buying; supply shortages; COVID-19 pandemic; social distancing; self quarantine; hoarding behavior; community cooperation; public health crisis; infrastructure collapse; economic hardship; social isolation; collective action; mutual aid; remote connection; crisis response; fear and uncertainty; shelter in place; business closures; public trust","恐慌性购买; 物资短缺; 新冠疫情; 社交隔离; 自我隔离; 囤积行为; 社区合作; 公共卫生危机; 基础设施崩溃; 经济困难; 社会孤立; 集体行动; 互助; 远程联系; 危机应对; 恐惧与不确定性; 居家避疫; 企业关闭; 公众信任","Public Health; Community Response; Crisis Ethics; Social Cohesion; Pandemic Behavior","公共卫生; 社区响应; 危机伦理; 社会凝聚力; 疫情行为","","","If Only George Bailey was President Now","https://www.belfercenter.org/publication/if-only-george-bailey-was-president-now","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Syra Madad","","Coronavirus; Emergency response; Global Health; Public Health","Coronavirus; Emergency response; Global Health; North America; Public Health"
"238","Belfer Center for Science and International Affairs","USA","a0742ef2a7ef","2020-03-30T12:00:00Z","Belfer Center","Lauren Zabierek highlights that periods of global uncertainty, such as the COVID-19 pandemic, create significant opportunities for malicious cyber actors. These actors exploit heightened public anxiety, increased remote work, and strained healthcare systems to launch targeted attacks. The article, part of the Belfer Center's Cyber Project, emphasizes the intersection of cybersecurity with global health crises. It discusses how threat actors use phishing, misinformation campaigns, and attacks on critical infrastructure, particularly in the health sector, to achieve their goals. The piece underscores the need for robust cyber defenses and international cooperation during such crises to protect sensitive data and maintain public trust in digital systems.","劳伦·扎比雷克指出，全球不确定时期，例如COVID-19大流行，为恶意网络行为者创造了重要机会。这些行为者利用公众焦虑加剧、远程工作普及和医疗系统压力，发动针对性攻击。本文作为贝尔弗中心网络项目的一部分，强调了网络安全与全球健康危机的交叉点。文章讨论了威胁行为者如何利用网络钓鱼、虚假信息活动以及对关键基础设施（尤其是卫生部门）的攻击来实现其目标。文章强调，在此类危机期间，需要建立强大的网络防御体系并加强国际合作，以保护敏感数据并维持公众对数字系统的信任。","cybersecurity; uncertainty; bad actors; COVID-19; phishing; misinformation; critical infrastructure; healthcare; remote work; Belfer Center; Cyber Project; global health; cyber attacks; threat actors; international cooperation; public trust; digital systems; exploitation; anxiety; pandemic","网络安全; 不确定性; 恶意行为者; COVID-19; 网络钓鱼; 虚假信息; 关键基础设施; 医疗保健; 远程工作; 贝尔弗中心; 网络项目; 全球健康; 网络攻击; 威胁行为者; 国际合作; 公众信任; 数字系统; 漏洞利用; 焦虑; 大流行","Cybersecurity; Global Health Crisis; Cyber Threats","网络安全; 全球健康危机; 网络威胁","","","Lauren Zabierek: Times of Uncertainty Create Opportunities for Bad Cyber Actors","https://www.belfercenter.org/publication/lauren-zabierek-times-uncertainty-create-opportunities-bad-cyber-actors","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Syra Madad","","Coronavirus; Cyber Security; Global Health","Coronavirus; Cyber Project; Cyber Security; Global Health"
"239","Belfer Center for Science and International Affairs","USA","224c76f52fb2","2020-03-27T12:00:00Z","Belfer Center","The COVID-19 pandemic has triggered a severe global recession, prompting unprecedented monetary interventions by the Federal Reserve to support liquidity and address dollar shortages. The crisis is reshaping global trade, casting doubt on the viability of the U.S.-China Phase One trade deal's purchase targets and exposing vulnerabilities in critical pharmaceutical supply chains, leading several nations to impose export restrictions on medical equipment. This environment, combined with the ongoing paralysis of the World Trade Organization's Appellate Body due to U.S. actions, risks accelerating unilateral protectionism. Furthermore, the pandemic is testing the foundations of U.S. financial statecraft. The weaponization of dollar-based sanctions has strained transatlantic relations, while the crisis may catalyze Eurozone fiscal integration through proposed pan-European debt issuance, potentially strengthening the euro as a reserve currency. The long-term consequence may necessitate a U.S. return to multilateral cooperation to safeguard its global economic standing.","新冠疫情已引发比全球金融危机更严重的衰退，美联储采取了前所未有的行动支持市场流动性。这场危机正在重塑全球贸易体系，美中第一阶段贸易协议的采购目标因中国经济停摆而愈发难以实现，暴露出关键药品供应链的脆弱性，导致多国对医疗设备实施出口限制。在美国阻挠下，世贸组织上诉机构已陷入瘫痪，这可能加速单边保护主义抬头。在金融领域，美国将美元武器化的制裁行为加剧了跨大西洋紧张关系。与此同时，疫情可能推动欧元区财政整合，九个国家正推动发行泛欧债券以应对危机，若成功将弥补欧元缺乏共同财政政策的缺陷，增强其国际储备货币地位。德国已推出大规模刺激计划。这些发展可能削弱美元特权，最终迫使美国重返多边主义外交轨道，以管理其政策带来的外部影响并维护全球地位。","COVID-19; recession; Federal Reserve; liquidity; swap lines; supply chains; Phase One deal; export restrictions; medical equipment; protectionism; World Trade Organization; Appellate Body; sanctions; reserve currency; euro; pan-European debt; fiscal integration; multilateralism; economic statecraft; dollar shortage","新冠疫情; 经济衰退; 美联储; 流动性; 货币互换; 供应链; 第一阶段协议; 出口限制; 医疗设备; 保护主义; 世界贸易组织; 上诉机构; 制裁; 储备货币; 欧元; 泛欧债券; 财政一体化; 多边主义; 经济外交; 美元短缺","Global Trade; Financial Statecraft; Monetary Policy; Supply Chain Security; International Institutions","全球贸易; 金融外交; 货币政策; 供应链安全; 国际机构","","","What COVID-19 Means for America’s Economic and Financial Statecraft","https://www.belfercenter.org/publication/what-covid-19-means-americas-economic-and-financial-statecraft","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Syra Madad","","Coronavirus; Global Health; Public Health","Coronavirus; Global Health; Public Health"
"240","Belfer Center for Science and International Affairs","USA","edae0772e09a","2020-03-27T12:00:00Z","Belfer Center","The article, referencing Ambassador Nicholas Burns, highlights the concurrent global crises of the COVID-19 pandemic and a severe economic downturn. It argues that these interconnected challenges demand thoughtful, cooperative, and strategic leadership from every nation. The piece emphasizes that effective international relations and diplomacy are crucial for coordinating public health responses and mitigating the economic fallout. It calls for a departure from isolationist policies, advocating instead for global collaboration to manage the health emergency and stabilize the world economy. The core message is that navigating these dual crises successfully requires leaders who prioritize long-term stability and international partnership over short-term, unilateral actions.","本文援引尼古拉斯·伯恩斯大使的观点，强调了COVID-19大流行与严重经济衰退这两大全球危机同时爆发的严峻形势。文章指出，这些相互关联的挑战要求每个国家都必须展现出深思熟虑、具有合作精神和战略眼光的领导力。文章强调，有效的国际关系和外交对于协调公共卫生应对措施、减轻经济冲击至关重要。它呼吁各国摒弃孤立主义政策，倡导全球协作，以共同管理卫生紧急状况并稳定世界经济。核心信息是，要成功应对这双重危机，需要各国领导人将长期稳定和国际合作置于短期单边行动之上。","Global Crises; COVID-19; Economic Crisis; Thoughtful Leadership; International Relations; Diplomacy; Public Health; Economic Downturn; Global Collaboration; Strategic Leadership; Isolationist Policies; International Partnership; Economic Fallout; Health Emergency; World Economy; Cooperative Leadership; Long-term Stability; Unilateral Actions","全球危机; COVID-19; 经济危机; 深思熟虑的领导力; 国际关系; 外交; 公共卫生; 经济衰退; 全球协作; 战略领导力; 孤立主义政策; 国际伙伴关系; 经济冲击; 卫生紧急状况; 世界经济; 合作型领导力; 长期稳定; 单边行动","Global Crises; Leadership; International Diplomacy; Public Health Policy; Economic Policy","全球危机; 领导力; 国际外交; 公共卫生政策; 经济政策","","","Nicholas Burns: Facing Two Global Crises, We Need Thoughtful Leadership In Every Country","https://www.belfercenter.org/publication/nicholas-burns-facing-two-global-crises-we-need-thoughtful-leadership-every-country","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Jeffrey Frankel","","Coronavirus; Economic Policy; Global Health; International Relations","Coronavirus; Economic Diplomacy Initiative; Economic Policy; Future of Diplomacy Project; Global Health; International Relations"
"241","Belfer Center for Science and International Affairs","USA","f2834f3898e1","2020-03-25T12:00:00Z","Belfer Center","The article argues that the United States and China must adopt a more cooperative security stance, particularly in response to global crises like the COVID-19 pandemic. It references Joseph S. Nye's perspective that such cooperation is essential for effective pandemic response. The context includes broader discussions on international security, global health, and the challenges of corruption. The piece is framed within the Belfer Center's analysis, suggesting that adversarial postures between major powers hinder collective action against transnational threats. It touches on related topics such as free speech, security assistance, and regional energy reforms, positioning the U.S.-China relationship as central to addressing both immediate health emergencies and long-term strategic stability.","本文主张美国和中国需要采取更加合作的安保立场，尤其是在应对诸如COVID-19大流行等全球危机时。文章引用了约瑟夫·奈的观点，认为这种合作对于有效的疫情应对至关重要。背景涉及更广泛的国际安全、全球卫生以及腐败挑战的讨论。该文基于贝尔弗中心的分析框架，指出主要大国之间的对抗姿态会阻碍针对跨国威胁的集体行动。文章还提及了相关议题，如言论自由、安全援助和区域能源改革，并将美中关系置于应对紧迫卫生突发事件和长期战略稳定的核心位置。","cooperative security; U.S.-China relations; COVID-19 pandemic; global health; international security; Joseph S. Nye; Belfer Center; transnational threats; strategic stability; pandemic response; adversarial posture; collective action; security assistance; corruption; energy reforms; free speech; regional stability; major powers; crisis management; health emergencies","合作安全; 美中关系; COVID-19大流行; 全球卫生; 国际安全; 约瑟夫·奈; 贝尔弗中心; 跨国威胁; 战略稳定; 疫情应对; 对抗姿态; 集体行动; 安全援助; 腐败; 能源改革; 言论自由; 区域稳定; 主要大国; 危机管理; 卫生突发事件","U.S.-China Relations; Global Health Security; International Cooperation","美中关系; 全球卫生安全; 国际合作","","","Joseph S. Nye: U.S. and China Need a More Cooperative Security Stance","https://www.belfercenter.org/publication/joseph-s-nye-us-and-china-need-more-cooperative-security-stance","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Shady ElGhazaly Harb","","China & security; Coronavirus; Corruption; Global Health; International Security & Defense","China & security; Coronavirus; Corruption; Global Health; International Security & Defense"
"242","Belfer Center for Science and International Affairs","USA","0f1a802afafc","","Belfer Center","The Belfer Center's engagement with the Middle East focuses on fostering direct dialogue and real connections with diverse populations in the region, moving beyond mere academic study. This approach is exemplified by activities such as Track II security dialogues in Israel, including visits to the Golan Heights, which provide frontline perspectives and inform strategic policy. The Center's Middle East Initiative, led by Tarek Masoud, organizes student trips and convenes regional scholars and officials to discuss local politics, development, and human rights. Other projects like the Future of Diplomacy, Iran Working Group, Managing the Atom, and Geopolitics of Energy contribute by hosting discussions with figures such as former Palestinian Prime Minister Salam Fayyad and Israeli politician Tzipi Livni, and exploring topics from the peace process to energy transition. The Center distinguishes its research through a science and technology lens, addressing issues like chemical weapons, cyberattacks, and climate change at the intersection of science and regional security, notably producing a 'gold standard' analysis of the Iran nuclear deal that influenced Congressional testimony.","贝尔弗中心对中东地区的承诺超越了单纯研究这一争议区域，其更高目标是促进与当地多元人群的真正接触。中心认识到，在人际联系匮乏的地区，直接对话不可或缺。这一点体现在例如在以色列进行的关于安全问题的第二轨道对话，以及访问戈兰高地等活动中，学者们获取一线观点，对方则了解战略决策。中东倡议项目由塔雷克·马苏德主持，经常带领学生海外考察，学习当地政治、发展经济学和人权，并召集世界级学者、外交官和高级官员在校园分享见解。中心的其他项目，如未来外交、伊朗工作组、管理原子项目、情报项目和能源地缘政治项目，也在此领域做出重要贡献，近期活动包括与前巴勒斯坦总理萨拉姆·法耶兹讨论治理，听取以色列政治家齐皮·利夫尼关于两国和平进程的见解，探讨化石燃料地区向可再生能源转型等。中心以科技为重点的专业知识使其研究独具特色，从化学武器、网络攻击到气候变化，学者们在科技与地区安全的交叉领域帮助制定及时政策，其关于伊朗核协议的权威分析被赞为研究“黄金标准”。","Track II dialogue; Golan Heights; Middle East Initiative; security issues; strategic policy; development economics; human rights; Future of Diplomacy; Iran Working Group; Managing the Atom; Geopolitics of Energy; science and technology; chemical weapons; cyberattacks; climate change; regional security; Iran nuclear deal; Congressional testimony; governance; renewables transition","第二轨道对话; 戈兰高地; 中东倡议; 安全问题; 战略政策; 发展经济学; 人权; 未来外交; 伊朗工作组; 管理原子项目; 能源地缘政治; 科学技术; 化学武器; 网络攻击; 气候变化; 地区安全; 伊朗核协议; 国会证词; 治理; 可再生能源转型","Middle East Engagement; Track II Diplomacy; Science & Security; Regional Policy; Energy Transition","中东接触; 第二轨道外交; 科技与安全; 地区政策; 能源转型","","","From the Director","https://www.belfercenter.org/publication/director-50","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","","","","Future of Diplomacy Project; Geopolitics of Energy Project; Intelligence Project; Iran Project; Managing the Atom; Middle East Initiative"
